,Object_ID,Image_URL,Title,Object_Name,Medium,Classification,Department,Culture,Period,Object_Date,Target
30,554923,https://images.metmuseum.org/CRDImages/eg/web-large/30-6-102.jpg,Funerary Cone,"Cone, round, Surer, royal scribe, fanbearer",Pottery,,Egyptian Art,,New Kingdom,ca. 1550–1295 B.C.,0
31,205319,https://images.metmuseum.org/CRDImages/es/web-large/DP-470-094.jpg,Seal,Seal,"Soft-paste porcelain, metal gilt, lapis lazuli, rubies, turquoises",Ceramics-Porcelain,European Sculpture and Decorative Arts,,,ca. 1751–54,0
32,325378,https://images.metmuseum.org/CRDImages/an/web-large/hb62_65_3.jpg,Spouted jug with a mottled surface,Jug,Ceramic,,Ancient Near Eastern Art,,Early Bronze Age II,ca. 2700–2400 B.C.,0
33,771059,https://images.metmuseum.org/CRDImages/es/web-large/DP-16489-253.jpg,Vase with hexagonal foot (one of a pair),Vase,Bone china with enamel decoration and gilding,Ceramics-Porcelain,European Sculpture and Decorative Arts,,,1885,0
34,451862,https://images.metmuseum.org/CRDImages/is/web-large/LC-66_95_9_-view1.jpg,Fragments of a Dish,Fragments,"Stonepaste; polychrome inglaze and overglaze painted on opaque white glaze, molded (mina'i)",Ceramics,Islamic Art,,,last quarter 12th–early 13th century,0
35,205967,https://images.metmuseum.org/CRDImages/es/web-large/205133.jpg,Owl,Figure,Hard-paste porcelain,Ceramics-Porcelain,European Sculpture and Decorative Arts,,,ca. 1740,0
36,316875,https://images.metmuseum.org/CRDImages/ao/web-large/hz1994_35_50.jpg,Jar,Jar,Ceramic,Ceramics-Containers,The Michael C. Rockefeller Wing,Teotihuacan,,3rd–8th century,0
37,477238,https://images.metmuseum.org/CRDImages/cl/web-large/DP140850.jpg,Lusterware Tile,Tile,Glazed earthenware,Ceramics-Tiles,The Cloisters,Spanish,,1450–75,0
38,205991,https://images.metmuseum.org/CRDImages/es/web-large/205157.jpg,Coffee cup (part of a service),Coffee cup,Hard-paste porcelain,Ceramics-Porcelain,European Sculpture and Decorative Arts,,,ca. 1780–85,0
40,44455,https://images.metmuseum.org/CRDImages/as/web-large/1987_247_2.JPG,Vase (one of a pair),Vase,Porcelain with blue-white glaze (Qingbai ware),Ceramics,Asian Art,China,Yuan dynasty (1271–1368),14th century,0
41,198676,https://images.metmuseum.org/CRDImages/es/web-large/ES6269.jpg,Gardener,Figure,Hard-paste porcelain,Ceramics-Porcelain,European Sculpture and Decorative Arts,,,ca. 1770–75,0
42,52206,https://images.metmuseum.org/CRDImages/as/web-large/DP247422.jpg,Tea caddy,Tea caddy,Stoneware with incision and iron brown glaze (Takatori ware),Ceramics,Asian Art,Japan,early Edo period (1615–1868),17th century,0
44,203264,https://images.metmuseum.org/CRDImages/es/web-large/184037.jpg,Pair of Italian comedy actors (Pulcinella and Elizabeth (?)),Group,Soft-paste porcelain,Ceramics-Porcelain,European Sculpture and Decorative Arts,,,ca. 1770–80,0
45,60731,https://images.metmuseum.org/CRDImages/as/web-large/28_186_27.jpg,Cricket pot,Cricket pot,"Unglazed earthenware, porcelain, silk",Cricket cages,Asian Art,China,Qing dynasty (1644–1911),18th–19th century,0
46,695349,https://images.metmuseum.org/CRDImages/md/web-large/28.99.406.jpg,Fragment,Fragment,"Glass, ceramic",Glass-Vessels,Medieval Art,European or Middle Eastern,,ca. 1150–ca. 1250,0
47,44704,https://images.metmuseum.org/CRDImages/as/web-large/DT6914.jpg,Tomb guardian,Figure,Earthenware with pigment and gilding,Sculpture,Asian Art,China,Tang dynasty (618–907),early 8th century,0
48,198674,https://images.metmuseum.org/CRDImages/es/web-large/122600.jpg,The Morning Coffee,Figure,Hard-paste porcelain,Ceramics-Porcelain,European Sculpture and Decorative Arts,,,ca. 1755,0
49,203238,https://images.metmuseum.org/CRDImages/es/web-large/DP-900-001.jpg,The Large Bow,Figure group,Hard-paste porcelain,Ceramics-Porcelain,European Sculpture and Decorative Arts,,,ca. 1770,0
50,474589,https://images.metmuseum.org/CRDImages/md/web-large/sf12-180-179s1.jpg,Ostrakon,Ostrakon,Pottery fragment with ink inscription,Ceramics,Medieval Art,Coptic,,7th century,0
51,474452,https://images.metmuseum.org/CRDImages/md/web-large/sf12-180-46s1.jpg,Ostrakon,Ostrakon,Pottery fragment with ink inscription,Ceramics,Medieval Art,Coptic,,7th century,0
52,202337,https://images.metmuseum.org/CRDImages/es/web-large/170266.jpg,Asia,Figure,Soft-paste porcelain,Ceramics-Porcelain,European Sculpture and Decorative Arts,,,ca. 1755–60,0
53,48723,https://images.metmuseum.org/CRDImages/as/web-large/68_25_2_O1_sf.jpg,Vase with phoenix roudel and floral patterns,Vase,Porcelain painted in overglaze polychrome enamels (Jingdezhen ware),Ceramics,Asian Art,China,"Qing dynasty (1644–1911), Kangxi period (1662–1722)",late 17th–early 18th century,0
54,48714,https://images.metmuseum.org/CRDImages/as/web-large/20630.jpg,Vase,Vase,"""Soft paste"" porcelain painted in underglaze blue",Ceramics,Asian Art,China,"Qing dynasty (1644–1911), probably Qianlong period (1736–95)",18th century,0
55,187894,https://images.metmuseum.org/CRDImages/es/web-large/SF94_4_404a-t.jpg,Tiles (20),Tiles,Tin-glazed earthenware,Ceramics-Pottery,European Sculpture and Decorative Arts,,,16th–17th century,0
56,559211,https://images.metmuseum.org/CRDImages/eg/web-large/13.180.46_EGDP016722.jpg,Funerary Cone of the Herald Ibety,"Cone, circular impression, Ibety, herald",Pottery,,Egyptian Art,,New Kingdom,ca. 1550–1295 B.C.,0
57,444899,https://images.metmuseum.org/CRDImages/is/web-large/sf02-5-95a.jpg,Tile,Tile,Stonepaste; glazed,Ceramics-Tiles,Islamic Art,,,late 16th century,0
58,308362,https://images.metmuseum.org/CRDImages/ao/web-large/vs62_266_71.jpg,Bird-Head Vessel,Bottle,"Ceramic, pigment",Ceramics-Containers,The Michael C. Rockefeller Wing,Paracas,,5th–4th century B.C.,0
59,51975,https://images.metmuseum.org/CRDImages/as/web-large/10_202_19.JPG,Tile,Tile,Earthenware,Ceramics,Asian Art,China,Qin–Han dynasty (221 B.C.–A.D. 220),,0
61,317899,https://images.metmuseum.org/CRDImages/ao/web-large/VS1998.478.2B.JPG,Grave Marker,Grave marker,Terracotta,Ceramics-Sculpture,The Michael C. Rockefeller Wing,Bura peoples,,3rd–11th century,0
62,693895,https://images.metmuseum.org/CRDImages/md/web-large/28.99.78.jpg,Fragment,Fragment,"Glass, ceramic",Glass-Vessels,Medieval Art,European or Middle Eastern,,ca. 1150–ca. 1250,0
63,309129,https://images.metmuseum.org/CRDImages/ao/web-large/67.167.38.JPG,Mountain Scene Bottle,Bottle,Ceramic,Ceramics-Containers,The Michael C. Rockefeller Wing,Moche,,4th–7th century,0
65,449853,https://images.metmuseum.org/CRDImages/is/web-large/LC-40_170_165.jpg,Sculpture,Sculpture,"Earthenware; molded decoration, unglazed",Ceramics,Islamic Art,,,11th–12th century,0
66,314170,https://images.metmuseum.org/CRDImages/ao/web-large/1980.34.25.jpg,Fish Scraper,Scraper,"Ceramic, pigment",Ceramics-Implements,The Michael C. Rockefeller Wing,Tolita-Tumaco,,1st–5th century,0
67,316000,https://images.metmuseum.org/CRDImages/ao/web-large/DP23078.jpg,Spouted Bottle,Bottle,Ceramic,Ceramics-Containers,The Michael C. Rockefeller Wing,Chorrera,,12th–4th century B.C.,0
68,42306,https://images.metmuseum.org/CRDImages/as/web-large/DP254500.jpg,Maebyeong with chrysanthemum decoration,Vase,Stoneware with iron-brown and white-slip decoration of chrysanthemums under celadon glaze,Ceramics,Asian Art,Korea,Goryeo dynasty (918–1392),13th century,0
69,325657,https://images.metmuseum.org/CRDImages/an/web-large/ME64_6_2.jpg,Figure,Sculpture,Ceramic,,Ancient Near Eastern Art,Iran,Late Bronze Age,1st millennium B.C.,0
70,547212,https://images.metmuseum.org/CRDImages/eg/web-large/DP249936.jpg,Bowl with Human Feet,"Bowl, red polished ware, feet",Pottery (red polished ware),,Egyptian Art,,"Predynastic, Late Naqada l–Naqada II",ca. 3700–3450 B.C.,0
71,53005,https://images.metmuseum.org/CRDImages/as/web-large/2015_300_264_Burke_website.jpg,Serving Dish (Hirabachi) with Circular Patterns (Botan-mochi),Serving dish,Stoneware with natural ash glaze (Bizen ware),Ceramics,Asian Art,Japan,Momoyama period (1573–1615),early 17th century,0
72,826039,https://images.metmuseum.org/CRDImages/as/web-large/LC-2019_281_4-001.jpg,Recumbent deer,Statuette,Stoneware (Yixing ware),Ceramics,Asian Art,China,Qing dynasty (1644–1911),18th century,0
73,554887,https://images.metmuseum.org/CRDImages/eg/web-large/30-6-149.jpg,Funerary Cone,Cone,Pottery,,Egyptian Art,,New Kingdom,ca. 1550–1295 B.C.,0
74,694344,https://images.metmuseum.org/CRDImages/md/web-large/28.99.189.jpg,Fragment,Fragment,"Glass, ceramic",Glass-Vessels,Medieval Art,European or Middle Eastern,,ca. 1150–ca. 1250,0
75,40095,https://images.metmuseum.org/CRDImages/as/web-large/DP23087.jpg,Jar,Jar,Burnished red earthenware,Ceramics,Asian Art,Korea,late Bronze Age (ca. 15th–ca. 3rd century B.C.),ca. 4th century B.C.,0
76,835341,https://images.metmuseum.org/CRDImages/es/web-large/DP-12529-027.jpg,Saucer (one of 12) (part of a service),Saucer,Soft-paste porcelain,Ceramics-Porcelain,European Sculpture and Decorative Arts,,,ca. 1758–69,0
77,323169,https://images.metmuseum.org/CRDImages/an/web-large/me34_126_59.jpg,Bowl,Bowl,Ceramic,,Ancient Near Eastern Art,Israelite,Iron Age II,ca. late 8th–7th century B.C.,0
79,551826,https://images.metmuseum.org/CRDImages/eg/web-large/28.3.33-acc.jpg,Funerary Cone of the Wab-Priest Neferkhawet,"Cone, Davies 405, Neferkhawet, wab-priest, bee keeper, Amun, fields",Pottery,,Egyptian Art,,New Kingdom,ca. 1550–1295 B.C.,0
80,47848,https://images.metmuseum.org/CRDImages/as/web-large/91_1_355_O1.jpg,Dish,Dish,Pottery covered with rich green glaze; green over white at handles,Ceramics,Asian Art,Japan,Edo period (1615–1868),1840,0
81,552021,https://images.metmuseum.org/CRDImages/eg/web-large/02.4.37_EGDP010309.jpg,Large jar,Jar,Pottery,,Egyptian Art,,Early Dynastic Period,ca. 3100–2649 B.C.,0
82,199681,https://images.metmuseum.org/CRDImages/es/web-large/ES7974.jpg,Dish,Dish,Hard-paste porcelain,Ceramics-Porcelain-Export,European Sculpture and Decorative Arts,,,ca. 1750–60,0
84,195275,https://images.metmuseum.org/CRDImages/es/web-large/59115.jpg,Plate,Plate,Glazed earthenware,Ceramics-Pottery,European Sculpture and Decorative Arts,,,18th century,0
85,197947,https://images.metmuseum.org/CRDImages/es/web-large/DP-22669-015.jpg,Ice cream cup (Tasse à glace) (part of a service),Ice cream cup,Soft-paste porcelain,Ceramics-Porcelain,European Sculpture and Decorative Arts,,,1771,0
87,4558,https://images.metmuseum.org/CRDImages/ad/web-large/148877.jpg,Jug,Jug,"Earthenware, transfer-printed",,The American Wing,British,,1770–1800,0
88,207980,https://images.metmuseum.org/CRDImages/es/web-large/ES2622.jpg,Krug,Krug,Faience (tin-glazed earthenware); pewter,Ceramics-Pottery,European Sculpture and Decorative Arts,,,dated 1632,0
89,47202,https://images.metmuseum.org/CRDImages/as/web-large/54724.jpg,Bonbon Bottle,Bottle,"White porcelain decorated with blue under the glaze (Arita ware, Imari type)",Ceramics,Asian Art,Japan,Edo period (1615–1868),1750,0
90,63016,https://images.metmuseum.org/CRDImages/as/web-large/243218.jpg,Foreign horse groom,Figure,Earthenware,Tomb Pottery,Asian Art,China,Tang dynasty (618–907),7th–8th century,0
91,308534,https://images.metmuseum.org/CRDImages/ao/web-large/64.228.28_a.JPG,Warrior Head Jar,Jar,"Ceramic, slip, pigment",Ceramics-Containers,The Michael C. Rockefeller Wing,Moche,,2nd–5th century,0
92,316481,https://images.metmuseum.org/CRDImages/ao/web-large/vs1991_17_8.jpg,Head,Head,"Terracotta, sacrificial materials, pigment",Ceramics-Sculpture,The Michael C. Rockefeller Wing,Edo peoples,,16th–18th century,0
93,197680,https://images.metmuseum.org/CRDImages/es/web-large/100777.jpg,Plate (one of a pair),Plate,Soft-paste porcelain,Ceramics-Porcelain,European Sculpture and Decorative Arts,,,ca. 1762–70,0
94,322931,https://images.metmuseum.org/CRDImages/an/web-large/me33_175_42.jpg,Glazed bowl,Bowl,"Ceramic, glaze",,Ancient Near Eastern Art,Sasanian or Islamic,late Sasanian–early Islamic,ca. 6th–8th century A.D.,0
95,50211,https://images.metmuseum.org/CRDImages/as/web-large/DP-14607-043.jpg,Bottle in Meiping Shape with “Tortoiseshell” Glaze,Bottle,Stoneware with iron glaze (Jizhou ware),Ceramics,Asian Art,China,Yuan dynasty (1271–1368),14th century,0
96,449071,https://images.metmuseum.org/CRDImages/is/web-large/sf36-20-40a.jpg,Jug,Jug,"Earthenware; slip covered and incised, unglazed",Ceramics,Islamic Art,,,late 8th–first half 9th century,0
97,194893,https://images.metmuseum.org/CRDImages/es/web-large/49942.jpg,Cup with handle,Cup,Soft-paste porcelain,Ceramics-Porcelain,European Sculpture and Decorative Arts,,,1760 (?),0
98,51033,https://images.metmuseum.org/CRDImages/as/web-large/32_100_435_88127.jpg,Water Coupe (one of a pair),Water coupe,Porcelain with clair de lune glaze,Ceramics,Asian Art,China,"Qing dynasty (1644–1911), Kangxi mark and period (1662–1722)",,0
99,307574,https://images.metmuseum.org/CRDImages/ao/web-large/00.5.794.jpg,Spindle Whorl,Spindle whorl,Ceramic,Ceramics-Implements,The Michael C. Rockefeller Wing,Mexican,,10th–early 16th century,0
100,44736,https://images.metmuseum.org/CRDImages/as/web-large/1991_253_17.jpg,Small Dish,Dish,Porcelain with incised design under ivory white glaze (Ding ware),Ceramics,Asian Art,China,Jin dynasty (1115–1234),12th century,0
101,771015,https://images.metmuseum.org/CRDImages/es/web-large/DP-16489-221.jpg,Moon flask  with gold butterfly and wheat motifs,Moon flask,Bone china,Ceramics-Porcelain,European Sculpture and Decorative Arts,,,1880s,0
102,313063,https://images.metmuseum.org/CRDImages/ao/web-large/1979.206.1199.JPG,Cylinder Seal,Stamp,Ceramic,Ceramics-Implements,The Michael C. Rockefeller Wing,Atlantic Watershed,,5th–6th century,0
103,200902,https://images.metmuseum.org/CRDImages/es/web-large/149537.jpg,Scaramouche,Figure,Hard-paste porcelain,Ceramics-Porcelain,European Sculpture and Decorative Arts,,,ca. 1752,0
104,48195,https://images.metmuseum.org/CRDImages/as/web-large/DP-15944-001.jpg,Dish with scene of a family,Dish,Porcelain painted in underglaze cobalt blue (Jingdezhen ware),Ceramics,Asian Art,China,Qing dynasty (1644–1911),early 18th century,0
105,452497,https://images.metmuseum.org/CRDImages/is/web-large/sf1973-79-80a.jpg,Fragment,Fragment,Earthenware; incised and painted under transparent glaze,Ceramics,Islamic Art,,,14th century,0
106,46047,https://images.metmuseum.org/CRDImages/as/web-large/14_40_259ab_O1.jpg,Covered jar with plum blossoms,Covered jar,Porcelain painted in underglaze cobalt blue (Jingdezhen ware),Ceramics,Asian Art,China,"Qing dynasty (1644–1911), Kangxi period (1662–1722)",late 17th–early 18th century,0
108,623499,https://images.metmuseum.org/CRDImages/es/web-large/DP-18258-041.jpg,Square bottle with stopper (one of a pair),Bottle,Hard-paste porcelain with underglaze blue and overglaze enamel and gilding,Ceramics-Porcelain-Export,European Sculpture and Decorative Arts,,,ca. 1690–1720,0
109,460210,https://images.metmuseum.org/CRDImages/rl/web-large/DT3514.jpg,Dish (coppa),Dish,Maiolica (tin-glazed earthenware),Ceramics-Pottery,Robert Lehman Collection,"Italian, Urbino and Gubbio",,ca. 1530–35,0
110,770920,https://images.metmuseum.org/CRDImages/es/web-large/DP-16489-250.jpg,Bottle with stopper,Bottle with stopper,Porcelain,Ceramics-Porcelain,European Sculpture and Decorative Arts,,,1885,0
111,445537,https://images.metmuseum.org/CRDImages/is/web-large/sf08-256-251.jpg,Fragment,Fragment,Stonepaste; underglaze painted,Ceramics,Islamic Art,,,14th–15th century,0
112,188653,https://images.metmuseum.org/CRDImages/es/web-large/6585.jpg,Milk pitcher (part of a service),Milk pitcher,Hard-paste porcelain,Ceramics-Porcelain,European Sculpture and Decorative Arts,,,ca. 1790,0
113,695294,https://images.metmuseum.org/CRDImages/md/web-large/28.99.364.jpg,Fragment,Fragment,"Glass, ceramic",Glass-Vessels,Medieval Art,European or Middle Eastern,,ca. 1150–ca. 1250,0
114,322988,https://images.metmuseum.org/CRDImages/an/web-large/me34_107_14.jpg,Jar,Large Jar,Ceramic,,Ancient Near Eastern Art,Sasanian or Islamic,Sasanian–early Islamic,ca. 7th–8th century A.D.,0
115,310469,https://images.metmuseum.org/CRDImages/ao/web-large/1978.412.7_a.JPG,Male Figure on Stool,Male figure,Ceramic,Ceramics-Sculpture,The Michael C. Rockefeller Wing,Nayarit,,100 B.C.–A.D. 400,0
116,448857,https://images.metmuseum.org/CRDImages/is/web-large/sf32-150-392b.jpg,Fragment,Fragment,Earthenware; incised,Ceramics,Islamic Art,,,8th–9th century,0
117,6049,https://images.metmuseum.org/CRDImages/ad/web-large/148995.jpg,Plate,Plate,Stoneware,,The American Wing,British (American market),,1750–60,0
118,194491,https://images.metmuseum.org/CRDImages/es/web-large/DP-17961-011.jpg,Dish,Dish,Creamware,Ceramics-Pottery,European Sculpture and Decorative Arts,,,18th century,0
119,196419,https://images.metmuseum.org/CRDImages/es/web-large/DP302966.jpg,Dish with centaur and centauress battling,Dish,"Maiolica (tin-glazed earthenware), lustered",Ceramics-Pottery,European Sculpture and Decorative Arts,,,ca. 1500–1510,0
120,50547,https://images.metmuseum.org/CRDImages/as/web-large/1970_3ab_O3_sf.jpg,Ewer with Cover,Ewer with cover,Porcelain (Qingbai ware),Ceramics,Asian Art,China,late Song dynasty (960–1279),12th century,0
121,199369,https://images.metmuseum.org/CRDImages/es/web-large/ES8049.jpg,Chinese horseman,Group,Hard-paste porcelain,Ceramics-Porcelain,European Sculpture and Decorative Arts,,,ca. 1765–70,0
122,318283,https://images.metmuseum.org/CRDImages/ao/web-large/DP101933.jpg,Kneeling Female  Figure,Female figure,Ceramic,Ceramics-Sculpture,The Michael C. Rockefeller Wing,Nayarit (Chinesco),,2nd–4th century,0
123,198465,https://images.metmuseum.org/CRDImages/es/web-large/119740.jpg,Spoon tray (part of a service),Spoon tray,Soft-paste porcelain,Ceramics-Porcelain,European Sculpture and Decorative Arts,,,ca. 1765–75,0
124,327354,https://images.metmuseum.org/CRDImages/an/web-large/sd1988_102_30.jpg,Rhyton in the shape of a rabbit,Rhyton,Ceramic,,Ancient Near Eastern Art,Iran,Iron Age,ca. 900 B.C.,0
125,203166,https://images.metmuseum.org/CRDImages/es/web-large/183966.jpg,Turtle-shaped box (one of a pair),Box,Hard-paste porcelain,Ceramics-Porcelain,European Sculpture and Decorative Arts,,,1725–27,0
126,48338,https://images.metmuseum.org/CRDImages/as/web-large/182489.jpg,Meiping vase with flowers,Vase,Porcelain painted in overglaze polychrome enamels (Jingdezhen ware),Ceramics,Asian Art,China,Qing dynasty (1644–1911),18th century,0
127,695440,https://images.metmuseum.org/CRDImages/md/web-large/28.99.468.jpg,Fragment,Fragment,"Glass, ceramic",Glass-Vessels,Medieval Art,European or Middle Eastern,,ca. 1150–ca. 1250,0
129,203317,https://images.metmuseum.org/CRDImages/es/web-large/DP-15275-061.jpg,Flycatcher,Figure,Soft-paste porcelain,Ceramics-Porcelain,European Sculpture and Decorative Arts,,,ca. 1750,0
130,210743,https://images.metmuseum.org/CRDImages/es/web-large/DP-13486-069.jpg,Pinch bottle,Bottle,Earthenware,Ceramics-Pottery,European Sculpture and Decorative Arts,,,ca. 1890,0
131,200670,https://images.metmuseum.org/CRDImages/es/web-large/149773.jpg,Vase,Vase,Hard-paste porcelain,Ceramics-Porcelain-Export,European Sculpture and Decorative Arts,,,ca. 1770,0
132,449010,https://images.metmuseum.org/CRDImages/is/web-large/sf34-107-46a.jpg,Jar,Jar,Earthenware; monochrome glazed,Ceramics,Islamic Art,,,6th century,0
133,559095,https://images.metmuseum.org/CRDImages/eg/web-large/11.215.672.jpg,Mold for Annular Rings,Mold,Pottery,,Egyptian Art,,New Kingdom,ca. 1390–1353 B.C.,0
134,460950,https://images.metmuseum.org/CRDImages/rl/web-large/SLP1626a-f-1.jpg,Miniature Tea Set,Tea set,Hard-paste porcelain,Ceramics,Robert Lehman Collection,"French, Paris",,ca. 1825–35,0
135,52566,https://images.metmuseum.org/CRDImages/as/web-large/26_110_63555.jpg,Dish in the shape of flower,Dish,Earthenware with three color (sancai) glaze,Ceramics,Asian Art,China,Tang dynasty (618–907),,0
136,327373,https://images.metmuseum.org/CRDImages/an/web-large/sd1988_323_4.jpg,Sherd,Sherd,Ceramic,,Ancient Near Eastern Art,Halaf,Halaf,ca. 5000–4500 B.C.,0
137,47484,https://images.metmuseum.org/CRDImages/as/web-large/16275.jpg,Figure of a Rakan,Figure,Paste covered with glaze,Ceramics,Asian Art,Japan,Edo (1615–1868) or Meiji period (1868–1912),19th century,0
139,198690,https://images.metmuseum.org/CRDImages/es/web-large/DP-15624-055.jpg,Hen with chicks (one of a pair),Figure,Lead-glazed earthenware,Ceramics-Pottery,European Sculpture and Decorative Arts,,,ca. 1750–60,0
140,42255,https://images.metmuseum.org/CRDImages/as/web-large/DP200408.jpg,Vase with romantic scenes,Vase,"Porcelain covered with powdered blue glaze, painted with colored enamels over transparent glaze, and painted with gold (Jingdezhen ware)",Ceramics,Asian Art,China,"Qing dynasty (1644–1911), Kangxi period (1662–1722)",early 18th century,0
141,451126,https://images.metmuseum.org/CRDImages/is/web-large/sf52-130-8c.JPG,Fragment of a Bowl,Bowl fragment,Earthenware; glazed,Ceramics,Islamic Art,,,9th century,0
142,203485,https://images.metmuseum.org/CRDImages/es/web-large/DP-300-053.jpg,Highlander,Toy,Soft-paste porcelain,Ceramics-Porcelain,European Sculpture and Decorative Arts,,,ca. 1765–68,0
143,451489,https://images.metmuseum.org/CRDImages/is/web-large/DP295608.jpg,Bowl with Fish Motifs,Bowl,Stonepaste; molded and glazed,Ceramics,Islamic Art,,,first half 14th century,0
144,318292,https://images.metmuseum.org/CRDImages/ao/web-large/x.2.417_a.jpg,Figure Vessel,Vessel,"Ceramic
Contains ancient peanuts (no shell)",Ceramics-Containers,The Michael C. Rockefeller Wing,Quimbaya,,9th–14th century,0
145,199017,https://images.metmuseum.org/CRDImages/es/web-large/126016.jpg,Rearing horse,Figure,Lead-glazed earthenware,Ceramics-Pottery,European Sculpture and Decorative Arts,,,ca. 1780,0
